id,prediction
v01_0000,"You see, but you d not observe"
v01_0006,"HRECR4IT ICwoon LAMP QIL OcFIcE Squtherii LTTONGRODS oilmiur Its quite simple, once you know hoWa"
v01_0012,There's no use trying; that's impossible:
v01_0018,Curiouser and curiouserl
v01_0024,T year later: In a Union encampment just North of Chattanooga: Who in the world am I?
v01_0030,ARR We're all mad herea
v01_0036,It is a truth universally acknowledged:
v01_0042,Film Vault #114 1 could not tell you what I really think print:
v01_0048,Archive Classics restored 2024 Vanity and pride are different things.
v01_0054,W.&.A W &A.RF 1 have been in a dream all afternoon.
v01_0060,TTETA It was the best of times; it was the worst @f times:
v01_0066,"God bless US, every one."
v01_0072,will honor Christmas in my heart.
v01_0078,3.A.R.R Are there no prisons? No workhouses?
v01_0084,Welcome to my house. Enter freelys @f yourown will.
v01_0090,"Film Vault print #114 Listen to them, the children of the night;"
v01_0096,"H Then the army, backed by our supply trains, will advance for a surprise attack on the rebels' left flank. never drink_ . wine."
v01_0102,The blood is the life.
v01_0108,Even a man who is pure of heart may fall to darkness:
v01_0114,It was a dark and stormy night.
v01_0120,"have created a monster, and | cannot control it;"
v01_0126,"Beware, for | am fearless, and therefore powerful:"
v01_0132,There can be no life without pain
v01_0138,"U,R Nothing is impossible if you set your mind to it."
v01_0144,The game is afoot
v01_0150,Elementarys my dear fellow.
v01_0156,"Film Vault ? print #114 When you eliminate the impossible, what remains must be true."
v01_0162,Iinever guess. It is a shocking habit:
v01_0168,"Data;data, datal I cannot make bricks without clay:"
v01_0174,have often been wrong before
v01_0180,W.& Time flies over uS but leaves its shadow behind.
v01_0186,W.B.A.R. R. Aman's real possession is his memorya
v01_0192,The future is still in your hands:
v01_0198,"""That iS not burned   enough to stop you; and my men Will ford the river Kublic Domain Reel It is our choices that show who we truly are bridge"
v01_0204,There's no place like home;is there?
v01_0210,"don""t know half of you halfas well as | should like."
v01_0216,It's a dangerous business; going out your doora
v02_0000,"""Not so fast, my young friendl No one can outrun their fate:' AIl we have to decide is what to do with the time given uS."
v02_0006,Not all who wander are lost.
v02_0012,Even the smallest person can change the course of things:
v02_0018,The night is dark and full of secrets:
v02_0024,"""You cant go any further tonight The werewolf is the forests:' Speak softly and carry a big stick. roaming"
v02_0030,"from lk Seco %f Qefial "" Sprang f% = Aosferatu tko lvctk ano_fecoctk on fuman 6foo86. fis unkolz creature Gvctk inSiniSter cateS, fombeS ano coffinS tbic arsfilko titl curSeo birffrom tsficfss e FFortune favors the boldl Vantpere"
v02_0036,"Adventure is out there, waiting:"
v02_0042,As soon 4s futter crossef the brioge fe was seizef bp the eerie visions fe s0 often tols me o._ Somedayyou will beold enough to start reading fairy talesagain
v02_0048,It always seems impossible until it's done:
v02_0054,"Whatever you are, beagood one."
v02_0060,The best way out is always through:
v02_0066,"Oxe %eamns Jeely # Fko Sesolf casfee, k/ 8on/ Ut FKat y74f, 5oa Archive Classics restored 2024 Yousees butyou @ notobsenve:"
v02_0072,"Archive Classics restored 2024 It's quite simple, once you know how"
v02_0078,There's no use trying; that's impossible.
v02_0084,Curiouser and curiouserl
v02_0090,Who in the world am 1?
v02_0096,We're all mad here
v02_0102,Public Domain Reel It is a truth universally acknowledged.
v02_0108,"As the prebator Hlosferatu approache6, it seems tfat the estate agent, Knock , ha6 alreabp to fall unfer his I could not tellyou what I really think begun  spell;"
v02_0114,Vanity and are different things. pride
v02_0120,have been in a dream all afternoon:
v02_0126,It was the best of times; it was the worst of times:
v02_0132,"God bless US, every one_"
v02_0138,"It sprea6 like & scourge through the ship. Che first sailor that was infectef pullef the whole crew fown into a Sark, materp grape. Bp tfe light ofthe sinking sun, the ano first mate sai6 goofbpe to the last of their comrabes. Iwill honor Christmas in myheart captain"
v02_0144,Are there no prisons? No workhouses?
v02_0150,"Welcome to my house. Enter freely, of your own will."
v02_0156,"Public Domain Reel Listen to them, the children of the night."
v02_0162,Archive Classics restored 2024 never drink. wine:
v02_0168,"Film Vault "" print #114 The blood is the life."
v02_0174,Evena man who is pure of heart may fall to darkness.
v02_0180,It was a dark and stormy night.
v02_0186,Film Vault print #114 have created a monster; and | cannot control it
v02_0192,"Bewaret for am fearless, and therefore powerful:"
v02_0198,There can be no life without _ pain.
v02_0204,Nothing is impossible if you set your mind to it
v02_0210,The game is afoot.
v02_0216,Elementarys my dear fellows
v03_0000,When you eliminate the impossible; what remains must be true.
v03_0006,never guess. It is a shocking habit.
v03_0012,"Data, data, datal | cannot make bricks without clay:"
v03_0018,have often been wrong before.
v03_0024,Fisterniens Grotto Avuios Time flies over us but leaves its shadow behind.
v03_0030,Film Vault print #114 A man's real possession is his memory.
v03_0036,The future is still in your hands.
v03_0042,Archive Classics restored 2024 It is our choices that show who we truly are.
v03_0048,"There's no place like home, is there?"
v03_0054,don't know half of you half as well as | should like.
v03_0060,"7s It's a dangerous business, going out your door."
v03_0066,All we have to decide is what to do with the time given uS.
v03_0072,Public Domain Reel Not all who wander are lost.
v03_0078,Even the smallest person can change the course of things.
v03_0084,Archive Classics restored 2024 The night is dark and full of secrets.
v03_0090,Speak softly and carry a big stick.
v03_0096,Public Domain Reel Fortune favors the bold.
v03_0102,"Adventure is out there, waiting:"
v03_0108,Some you will be old enough to start reading tales again. day fairy
v03_0114,It always seems impossible until it's done.
v03_0120,"Whatever you are, be a one good"
v03_0126,The best way out is always through:
v03_0132,"You see, but you do not observe."
v03_0138,"Ir {Ueztrc It's quite simple, once you know how"
v03_0144,There's no use trying; that's impossible.
v03_0150,Curiouser and curiouser!
v03_0156,Archive Classics restored 2024 Who in the world am 1?
v01_0220,"You see, but you do not observe:"
v01_0226,"It's quite simple, once you know how:"
v01_0232,"There's no use trying, that's impossible."
v01_0238,Curiouser and curiouserl
v01_0244,"""At Shanty We will steal the train while the passengers and crew are at dinner, and proceeding North We Will burn every bridge,  cutting off the supplies of the army now facirWhbCiH'the world am I? Big"
v01_0250,Welre all mad here.
v01_0256,Film Vault #114 It is a truth universally acknowledged: ~print 5
v01_0262,1 could not tell-you what | really think.
v01_0268,Vanity and pride are different things.
v01_0274, have been in a dream all afternoon:
v01_0280,"Film Vault #114 It was the best of times, it was the worst of times. eeprint"
v01_0286,"God bless US, every ones"
v01_0292,1 will honor Christmas in my heart
v01_0298,Are there n@ prisons? No workhouses?
v01_0304,"Film Vault - print #114 Welcome to my house Enter freely; of,your own will:"
v01_0310,Archive Classics restored 2024 Listen to them; the children of the night;
v01_0316,never drink_ . wine:
v01_0322,The blood is the life.
v01_0328,Public Domain Reel Even a man who is pure of heart may fall to darkness_
v01_0334,It was a dark and stormy night
v01_0340,"have created a monster, and | cannot control it_"
v01_0346,"Beware, for | am fearless, and therefore powerful:"
v01_0352,W A.R. R Film Vault ^ print #114 There can be no life without pain:
v01_0358,Public Domain Reel Nothing is impossible if you set your mind to it.
v01_0364,3 Archivve Classics restored 2024 The game is afoot.
v01_0370,Elementarys my dear fellow.
v01_0376,"W. {A.R.R. When you eliminate the impossible, what remains must be true."
v01_0382,never guess: It is a shocking habit;
v01_0388,"Data, data, datal | cannot make bricks without clay."
v01_0394,have often been wrong before:
v01_0400,USMRR Time flies over us but leaves its shadow behind. HMHAA
v01_0406,A man's real possession is his memory:
v01_0412,The future is still in your hands:
v01_0418,It is our choices that show who we truly are:
v02_0224,"""You have to go to a bit of trouble_a little sweat and a little blood There's no place like home, is there? might maybe"
v02_0230,Idon't know half of you half as well as | should like.
v02_0236,"It""s a dangerous business, going out your door:"
v02_0242,Film Vault print #114 AIl we have to decide is what to do with the time given uS.
v02_0248,"Film Vault "" print #114 Not all who wander are lost."
v02_0254,Archive Classics Testored 2024 Even the smallest person can change the course of things:
v02_0260,The night is dark and full of secrets:
v02_0266,Archive Classics Testored 2024 Speaksoftly and carry abig stick
v02_0272,"As soon a5 the sun rose, the shabows of the night retreateS from futter . Fortune favors the bold"
v02_0278,"2n 9lz Oeave;t [ Do rot € Foodlel Hatset %l,9 Jat aila Archive Classics restored 2024 Adventure is @ut therel waiting;"
v02_0284,"""Your wife has a lovely neck__ Some you will be old enough to start reading fairy tales again. day"
v02_0290,It always seems impossible until it's done.
v02_0296,"Whateveryou are, beaggood @ne."
v02_0302,The best way out is always through:
v02_0308,have a feeling we're notin Kansas anymore.
v02_0314,no attention to that man behind the curtain: Pay
v02_0320,Archive Classics restored 2024 There's no place like home.
v02_0326,"Toto, Ive gota feeling we're not in Kansas anymore."
v02_0332,"IIl getyou, my pretty, andyour little toos 'dog"
v02_0338,"Dlague 4 plague epidemic has broken out it Cratsplvatia ano it the JBlack Sea ports o Varna ano Galaz Mlasses o vouug people are ovitg: AIl victims appear to hale the game strange Wounos O their uecks, the origin o tbich is still 4 mpsterg to voctors. Whe Daroauelles bave beet clogeo Second star (@ thetight and &traight Hyiu on till morning;"
v02_0344,"All children, except one, grow up."
v02_0350,"Just think happy thoughts, and youll fly:"
v02_0356,To die would be an awfully big adventure.
v02_0362,"do believe in fairies, | Ido. do,"
v02_0368,It was many and manyayearago:
v02_0374,The moon never beams without bringing me dreams.
v02_0380,Once upon a midnightc drearyo
v02_0386,2 'cknnntmadving: PROCLArchive @lassics? restored 20241ecreed that tll Nevermore} nothing moretizenry
v02_0392,There is no exquisite beauty without some strangeness:
v02_0398,became insane with long intervals of horrible sanity:
v02_0404,Che town was paralpzes bp fear. Thep were looking for a sacrifice: thep chose Rnock. Weare what we pretend to bea
v02_0410,So it goes.
v02_0416,"Film Vault print #114 Everything was beautiful, and nothing hurt."
v03_0162,History is merely a list of surprises.
v03_0168,want to see everything; feel everything 
v03_0174,There is nothing to writing; you just sit and bleed:
v03_0180,Courage is grace under pressure 
v03_0186,"Archive Classics restored 2024 The world breaks everyone, and afterward some are stronger."
v03_0192,You can't away from yourself by moving from one place to another. get
v03_0198,decided to learn how to shoot before we went any further.
v03_0204,It is not down on any map; true places never are
v03_0210,Whaling was my Yale College and my Harvard:
v03_0216,Call me by any name you like.
v03_0222,"try all things, achieve what can"
v03_0228,It matters not how a man dies; but how he lives.
v03_0234,The world is a place and worth fighting for. fine
v03_0240,don't want to survive. want to livve.
v03_0246,Film Vault print #114 man's death diminishes me; because | am involved in mankind. Any
v03_0252,Never send to know for whom the bell tolls.
v03_0258,"It was luminous, comfortable, and yellow:"
v03_0264,"Two roads diverged in a wood, and | took the one less traveled by."
v03_0270,In three words can sum up everything |'ve learned about life: it goes on:
v03_0276,"The woods are lovely, dark and deep."
v03_0282,"have promises to keep, and miles to go before sleep:"
v03_0288,"Film Vault print #114 You see, but you do not observe."
v03_0294,"It's quite simple, once you know how"
v01_0001,Usted ve; pero no observa.
v01_0007,'Johnnie Gray . Es bastante simple; una vez que sabes cómo.
v01_0013,"Occupation ? "" No sirve de nada intentarlo; es imposible."
v01_0019,Clasicos de Archivo festaurado iCada vez más raro!
v01_0025,"""[ know every foot of this railroad from Marietta to Chattanooga and with ten picked men [ cannot fail "" àQuién demonios soy yo?"
v01_0031,uAN W Bobina publica 'copia #114 Aquí todos estamos locos.
v01_0037,Es una verdad reconocida por todos.
v01_0043,No podría decirte lo que realmente pienso.
v01_0049,La vanidad y el orgullo son cosas distintas.
v01_0055,W.&.A.R.R He estado como en un sueño toda la tarde.
v01_0061,Era el mejor de los tiempos; era el peor de los tiempos.
v01_0067,@ue Dios nos bendiga a todos.
v01_0073,Guardaré la Navidad en mi corazón;
v01_0079,GThe Southern army facing Chattanooga is ordered to retreat_ iNo cárceles? asilos? hay &No hay
v01_0085,Bienvenido a mi casa Entre por su propia voluntad
v01_0091,"In the enemy s country _ hopelessly   lost,  helplessly cold and horribly hungry Escuche eso, los hijos de la noche."
v01_0097,Once our trains and troops cross that bridge; nothing on earth can US Yo nunca bebo.. vino. stop
v01_0103,Clasicos de Archivo restaurado La sangre es la vida.
v01_0109,Hasta un hombre puro puede caer en la oscuridad
v01_0115,Era una noche oscura y tormentosa.
v01_0121,He creado un monstruo y ya no puedo controlarlo.
v01_0127,"Cuidado, porque no tengo miedo; y eso me hace poderoso:"
v01_0133,No puede haber vida sin dolor.
v01_0139,Nada es imposible si te lo propones:
v01_0145,W.8.A.R. R Eljuego ha comenzado.
v01_0151,85492 Elemental; querido amigo:
v01_0157,Cuando eliminas lo imposible; lo que queda es la verdad:
v01_0163,Nunca adivino Es un hábito terrible
v01_0169,"Datos, datos; datosl No puedo trabajar sin ellos."
v01_0175,3 Antes también me he equivocado muchas veces.
v01_0181,Clasicos de Archivo restaurado El tiempo pasa; pero deja su sombra.
v01_0187,Clasicos de Archivo restaurado La verdadera posesión de un hombre es su memoria
v01_0193,Elfuturo todavía está en tus manos.
v01_0199,KBArR Son nuestras decisiones las que muestran quiénes somos.
v01_0205,"No hay lugar como el hogar, &verdad?"
v01_0211,No los conocía ni la mitad de lo que debería.
v01_0217,Es peligroso salir por esa puerta.
v02_0001,"Chere was an estate agent name8 [nock, about whom all sorts of rumors círculates. Che onlp tfjíng for certaín mas that he fjís people mell. Bobina publlca copla #114 Solo podemos decidire hacercon el tiempo que tenemos: país 'qu8"
v02_0007,No todo el que vaga está perdido.
v02_0013,Hasta la persona más pequeña puede cambiar el rumbo de las cosas.
v02_0019,"an8 poung Dutter travelef Somn countless Sustp roafs, untíl fínallp tfje Carpathíans gleames above hím.   Che horses pulles harSer. La noche es @squra y estä llena de secretos"
v02_0025,Clasicos de Archivo restaurado Habla con calma y actúa con firmeza.
v02_0031,La fortuna favorece a los valientes.
v02_0037,"La aventura está ahí afuera, esperando."
v02_0043,Bobina publica copia #114 Algún día tendrás edad para volver a leer cuentos de hadas:
v02_0049,Siempre parece imposible hasta que se logra.
v02_0055,Seas lo que seas; s8 bueno en ello.
v02_0061,Bobina publica copia #114 La mejor salida siempre es seguir adelante:
v02_0067,Ustedve; pero no observa:
v02_0073,"nigft (Bat Samc òigs Bis into BiS victims ano Suc&fes BimSeff on {Be BeffiSf cfirir 2f tBcir Bfoooc, Es bastante simple una vezque sabes como tosferafu _ cfanS"
v02_0079,No sirve de nada intentarlo; es imposible.
v02_0085,Che Soctor Sescríbe8 €llen'5 anxíetp to me a5 some sort of unknown íllness. But 1 know that on that níght fjer soul fears the call of the Seatfbírs. 2tosferatu was alrea8p spreaSíng hís At Sawn Dutter set out to ínvestigate the fjofCada vêzmmâs rarol ígfts. wíngs.
v02_0091,iQuién demonios soy yo?
v02_0097,"""He was brought to the hospital yesterday by farmers. said he had fallen   He still has a fever  Aquí todos estamos locos. They"
v02_0103,Es una verdad reconocida por todos.
v02_0109,"""The who was admitted yesterday has gone stark mad No podría decirte lo que realmente pienso. patient raving"
v02_0115,La vanidad y el orgullo son cosas distintas.
v02_0121,He estado como en un sueño toda la tarde.
v02_0127,Era el mejor de los tiempos; era el peor de los tiempos.
v02_0133,Que Dios nos bendiga a todos.
v02_0139,Guardaré la Navidad en mi corazon:
v02_0145,iNo cárceles? 2No asilos? hay hay
v02_0151,"""Imust go to him He's coming Ill"" Bienvenido a mi casa. Entre por su propia voluntad."
v02_0157,"Escuche eso, los hijos de la noche."
v02_0163,Yo nunca bebo... vino.
v02_0169,La sangre es lavida
v02_0175,Clasicos de Archivo restaurado Hasta un hombre puro puede caer en la oscuridad
v02_0181,Era una noche oscura y tormentosa
v02_0187,Clasicos de Archivo restaurado Hecreado un monstruo y ya no puedo controlarlo:
v02_0193,Cuidado; porque no tengo miedo; y eso me hace poderoso.
v02_0199,No puede haber vida sin dolor.
v02_0205,Nada es imposible si te lo propones
v02_0211,Elljuego ha comenzado
v02_0217,Elemental; querido amigo:
v03_0001,Cuando eliminas lo imposible; lo que queda es la verdad
v03_0007,Nunca adivino. Es un hábito terrible.
v03_0013,"iDatos, datos, datos! No puedo trabajar sin ellos ."
v03_0019,Antes también me he equivocado muchas veces.
v03_0025,Fishernens Grotto AvoTOS EI pasa; deja su sombra. tiempo pero
v03_0031,La verdadera posesión de un hombre es su memoria.
v03_0037,El futuro todavía está tus manos. en
v03_0043,Son nuestras decisiones las que muestran quiénes somos .
v03_0049,No lugar como el hogar; iverdad? hay
v03_0055,No los conocía ni la mitad de lo que debería.
v03_0061,PLAYLAND Es peligroso salir por esa puerta.
v03_0067,Solo podemos decidir hacer con el tiempo que tenemos. qué
v03_0073,No todo el que vaga está perdido.
v03_0079,Hasta la persona más pequeña puede cambiar el rumbo de las cosas
v03_0085,La noche es oscura y está Ilena de secretos.
v03_0091,Habla con calma y actúa con firmeza.
v03_0097,Bobina publica copia #114 La fortuna favorece a los valientes.
v03_0103,"La aventura está ahí afuera, esperando."
v03_0109,Clasicos de Archivo restaurado Algún día tendrás edad para volver a leer cuentos de hadas.
v03_0115,Siempre parece imposible hasta que se logra.
v03_0121,"Seas lo que seas, sé bueno en ello."
v03_0127,La mejor salida siempre es seguir adelante.
v03_0133,"@hF [ Mas 0 Il 3,) oF SA FPuCISCO Usted ve, no observa. pero"
v03_0139,Es bastante simple; una vez que sabes cómo.
v03_0145,No sirve de nada intentarlo; es imposible.
v03_0151,iCada vez más raro!
v03_0157,2Quién demonios soy yo?
v01_0221,'Fort Sumter has been fired upon . Usted ve; pero no observa_
v01_0227,Es bastante simple; una vez que sabes cómo:
v01_0233,No sinve de nada intentarlo; es imposible.
v01_0239,wouldn't  take me iCada vez más raro! 1They
v01_0245,I Then the you steal the train [ will have General Parker advance to meet you àQuién demonios soy day yo?
v01_0251,HRaRa Clasicos de Archivo restaurado Aquí todos estamos locos. Hapr
v01_0257,Es una verdad reconocida por todos:
v01_0263,WGARR No podría decirte lo que realmente pienso:
v01_0269,W.B.A.R.R. Bobina publica copia #114 La vanidad y el orgullo son cosas distintas:
v01_0275,He estado como en un sueño toda la tarde:
v01_0281,Era el mejor de los tiempos; era el peor de los tiempos .
v01_0287,Que Dios nos bendiga a todos
v01_0293,Guardaré la Navidad en mi corazón:
v01_0299,cárceles? zNò asilos? 2No hay hay
v01_0305,Clasicos de Anchivo restaurado Bienvenido a mi casa_ Entre por su propia voluntad.
v01_0311,"Escuche eso, los hijos de la noche."
v01_0317,Yo nunca bebo... vino.
v01_0323,La sangre es la vida:
v01_0329,Hasta un hombre puro puede caer en la oscuridad:
v01_0335,Era una noche oscura y tormentosa
v01_0341,Clasicos de Archivo restaurado He creado un monstruo y ya no puedo controlarlo.
v01_0347,Cuidado; porque no tengo miedo; y eso me hace poderoso.
v01_0353,No puede haber vida sin dolor.
v01_0359,Nada es imposible si te lo propones .
v01_0365,El juego ha comenzado .
v01_0371,"Elemental, querido amigo RR"
v01_0377,Cuando eliminas lo imposible; lo que queda es la verdad. [EX2S
v01_0383,Nunca adivino. Eslun hábito terrible.
v01_0389,W.8.AR R Datos; datos; datos! No puedo trabajar sin ellos:
v01_0395,Antes también me he equivocado muchas vveces
v01_0401,Bobina publica copia #114 El tiempo pasa; pero deja su sombra.
v01_0407,La verdadera posesión de un hombre es su memoria.
v01_0413,El futuro todavía está en tus manos.
v01_0419,Son nuestras decisiones las que muestran quiénes somos
v02_0225,No lugar como el hogar; Zverdad? hay
v02_0231,No los conocía nilla mitad de lo que debería:
v02_0237,Es peligroso salir por esa puerta:
v02_0243,Solo podemos decidir hacer con el tiempo que tenemos. qué
v02_0249,No todo e que vaga está perdido
v02_0255,Hasta la persona más pequeña puede cambiar el rumbo de las cosas.
v02_0261,Clasicos de Archivo restaurado Lanoche es oscura y está Ilena de secretos.
v02_0267,Habla con calma y actúa con firmeza.
v02_0273,La fortuna favorece a los valientes.
v02_0279,"bke m0save; ave Jnl neèance. Tb st lff me 0a Ke neck, +8e / 58e, %aJ clse Jsefer Laaventura estä ahí afue@ espeando"
v02_0285,Algún día tendrás edad para volver a leer cuentos de hadas:
v02_0291,Siempre parece imposible hasta que se logra.
v02_0297,Che Soctor Sescríbe8 €llen'5 anxíetp to me a5 some sort of unknown íllness. But 1 know that on that níght fjer soul fears the call of the Seathbírs. 2losferatu was alrea8p 5preaSíng hís At Sawn Dutter set out to ínvestigate the Seas sloqueceas; ce buenoienello wíngs.
v02_0303,Lamejor salida siempre es seguir adelante.
v02_0309,Tengo la sensación de que ya no estamos en Kansas.
v02_0315,"1 shouls note that ín those Jorofessor Bulwer was teaching fjís stubents about the SreaSful methoSs of carnívorous plants, One víewe$ wíth forror thje mpsteríous morkíngs of natureBobtna publica copla #114 No le hagan caso al hombre @etrâs dela cotina Saps"
v02_0321,No lugar como el hogar. hay
v02_0327,"Toto, tengo la sensación de que ya no estamos en Kansas."
v02_0333,"""No,Imust g0  Imust home as quickly as possiblell"" Te atraparé, preciosa; y a tu perrito también. get"
v02_0339,Segunda estrella a la derecha; y todo recto hasta el amanecer:
v02_0345,"Zt sprea8 like a scourge through the shíp. Che fírst saílor that mas ínfectes pulle8 the whole crew Sovn ínto a Sark, waterp grave. Bp the fight of the sínkíng sun, the an8 fírst mate sa18 gooSbpe to the last of thefr comrafes Bobina publlca copla #14 Todos los niños, m@nos un@; crecen: captaín"
v02_0351,"Solo piensa en cosas felices, y podrás volar."
v02_0357,Morir sería una aventura enorme.
