id,video_id,lang,image,ground_truth,has_watermark
v01_0000,v01,en,data/images/v01_0000.jpg,"You see, but you do not observe.",False
v01_0001,v01,es,data/images/v01_0001.jpg,"Usted ve, pero no observa.",False
v01_0002,v01,ja,data/images/v01_0002.jpg,見てはいるが、観察はしていないね。,False
v01_0003,v01,ko,data/images/v01_0003.jpg,보긴 하지만 관찰은 안 하는군요.,False
v01_0004,v01,zh,data/images/v01_0004.jpg,你只是看，却没有观察。,False
v01_0005,v01,el,data/images/v01_0005.jpg,"Βλέπεις, αλλά δεν παρατηρείς.",False
v01_0006,v01,en,data/images/v01_0006.jpg,"It's quite simple, once you know how.",False
v01_0007,v01,es,data/images/v01_0007.jpg,"Es bastante simple, una vez que sabes cómo.",False
v01_0008,v01,ja,data/images/v01_0008.jpg,コツさえ分かれば簡単さ。,False
v01_0009,v01,ko,data/images/v01_0009.jpg,알고 나면 아주 간단한 거예요.,True
v01_0010,v01,zh,data/images/v01_0010.jpg,知道方法之后其实很简单。,True
v01_0011,v01,el,data/images/v01_0011.jpg,"Είναι απλό, αρκεί να ξέρεις πώς.",False
v01_0012,v01,en,data/images/v01_0012.jpg,"There's no use trying, that's impossible.",False
v01_0013,v01,es,data/images/v01_0013.jpg,"No sirve de nada intentarlo, es imposible.",False
v01_0014,v01,ja,data/images/v01_0014.jpg,無駄だよ、それは不可能だ。,False
v01_0015,v01,ko,data/images/v01_0015.jpg,"그건 불가능해요, 소용없어요.",False
v01_0016,v01,zh,data/images/v01_0016.jpg,别白费力气了，那不可能。,True
v01_0017,v01,el,data/images/v01_0017.jpg,"Δεν έχει νόημα, είναι αδύνατο.",True
v01_0018,v01,en,data/images/v01_0018.jpg,Curiouser and curiouser!,False
v01_0019,v01,es,data/images/v01_0019.jpg,¡Cada vez más raro!,True
v01_0020,v01,ja,data/images/v01_0020.jpg,ますます不思議になっていく！,False
v01_0021,v01,ko,data/images/v01_0021.jpg,점점 더 이상해지네!,True
v01_0022,v01,zh,data/images/v01_0022.jpg,越来越奇怪了！,True
v01_0023,v01,el,data/images/v01_0023.jpg,Όλο και πιο περίεργο!,True
v01_0024,v01,en,data/images/v01_0024.jpg,Who in the world am I?,False
v01_0025,v01,es,data/images/v01_0025.jpg,¿Quién demonios soy yo?,False
v01_0026,v01,ja,data/images/v01_0026.jpg,私はいったい誰なの？,False
v01_0027,v01,ko,data/images/v01_0027.jpg,도대체 나는 누구지?,False
v01_0028,v01,zh,data/images/v01_0028.jpg,我到底是谁？,False
v01_0029,v01,el,data/images/v01_0029.jpg,Ποια είμαι επιτέλους εγώ;,False
v01_0030,v01,en,data/images/v01_0030.jpg,We're all mad here.,False
v01_0031,v01,es,data/images/v01_0031.jpg,Aquí todos estamos locos.,True
v01_0032,v01,ja,data/images/v01_0032.jpg,ここではみんな狂ってるよ。,False
v01_0033,v01,ko,data/images/v01_0033.jpg,여긴 다 미쳤어요.,False
v01_0034,v01,zh,data/images/v01_0034.jpg,这里的人都疯了。,False
v01_0035,v01,el,data/images/v01_0035.jpg,Εδώ όλοι είναι τρελοί.,False
v01_0036,v01,en,data/images/v01_0036.jpg,It is a truth universally acknowledged.,False
v01_0037,v01,es,data/images/v01_0037.jpg,Es una verdad reconocida por todos.,False
v01_0038,v01,ja,data/images/v01_0038.jpg,それは誰もが認める真実だ。,False
v01_0039,v01,ko,data/images/v01_0039.jpg,그건 누구나 아는 진실이죠.,False
v01_0040,v01,zh,data/images/v01_0040.jpg,这是人人都承认的真理。,False
v01_0041,v01,el,data/images/v01_0041.jpg,Είναι μια αλήθεια που όλοι αποδέχονται.,False
v01_0042,v01,en,data/images/v01_0042.jpg,I could not tell you what I really think.,True
v01_0043,v01,es,data/images/v01_0043.jpg,No podría decirte lo que realmente pienso.,False
v01_0044,v01,ja,data/images/v01_0044.jpg,本当の気持ちは言葉にできない。,False
v01_0045,v01,ko,data/images/v01_0045.jpg,내 진심은 말로 다 못해요.,False
v01_0046,v01,zh,data/images/v01_0046.jpg,我说不出自己真正的想法。,False
v01_0047,v01,el,data/images/v01_0047.jpg,Δεν μπορώ να πω τι πραγματικά σκέφτομαι.,False
v01_0048,v01,en,data/images/v01_0048.jpg,Vanity and pride are different things.,True
v01_0049,v01,es,data/images/v01_0049.jpg,La vanidad y el orgullo son cosas distintas.,False
v01_0050,v01,ja,data/images/v01_0050.jpg,虚栄心とプライドは別物だよ。,False
v01_0051,v01,ko,data/images/v01_0051.jpg,허영이랑 자존심은 다른 거예요.,False
v01_0052,v01,zh,data/images/v01_0052.jpg,虚荣和自尊是两回事。,False
v01_0053,v01,el,data/images/v01_0053.jpg,Η ματαιοδοξία κι η υπερηφάνεια είναι διαφορετικά πράγματα.,False
v01_0054,v01,en,data/images/v01_0054.jpg,I have been in a dream all afternoon.,False
v01_0055,v01,es,data/images/v01_0055.jpg,He estado como en un sueño toda la tarde.,False
v01_0056,v01,ja,data/images/v01_0056.jpg,午後じゅう夢の中にいたみたい。,False
v01_0057,v01,ko,data/images/v01_0057.jpg,오후 내내 꿈속에 있었던 것 같아요.,False
v01_0058,v01,zh,data/images/v01_0058.jpg,整个下午我都像在做梦。,True
v01_0059,v01,el,data/images/v01_0059.jpg,Ήμουν σαν σε όνειρο όλο το απόγευμα.,False
v01_0060,v01,en,data/images/v01_0060.jpg,"It was the best of times, it was the worst of times.",False
v01_0061,v01,es,data/images/v01_0061.jpg,"Era el mejor de los tiempos, era el peor de los tiempos.",False
v01_0062,v01,ja,data/images/v01_0062.jpg,最良の時代であり、最悪の時代でもあった。,True
v01_0063,v01,ko,data/images/v01_0063.jpg,"최고의 시절이자, 최악의 시절이었죠.",False
v01_0064,v01,zh,data/images/v01_0064.jpg,那是最好的时代，也是最坏的时代。,False
v01_0065,v01,el,data/images/v01_0065.jpg,"Ήταν η καλύτερη εποχή, ήταν η χειρότερη εποχή.",False
v01_0066,v01,en,data/images/v01_0066.jpg,"God bless us, every one.",False
v01_0067,v01,es,data/images/v01_0067.jpg,Que Dios nos bendiga a todos.,False
