id,prediction
v01_0000,"You see, but you do not observe."
v01_0001,"Usted ve, pero no observa."
v01_0002,見吖局、觀察法L吖\本\权。
v01_0003,보긴 하지만 관찰은 안 하는군요.
v01_0004,你只是看，却没有观察。
v01_0005,"Βλέπεις, αλλά δεν παρατηρείς."
v01_0006,"RECRUITINGNOOD LAMP OIL OFFICE SOUTHERLH COTTON GRONERS EXCHAHGE It's quite simple, once you know how."
v01_0007,"""Johnnie Gray. I Es bastante simple, una vez que sabes cómo."
v01_0008,少古元分力机试簡单志。
v01_0009,아카이브 클래식·복원판 알고 나면 아주 간단한 거예요.
v01_0010,公共领域胶片·拷贝 知道方法之后其实很简单。
v01_0011,"81B Είναι απλό, αρκεί να ξέρεις πώς."
v01_0012,"There's no use trying, that's impossible."
v01_0013,"""Occupation? No sirve de nada intentarlo, es imposible."
v01_0014,無肽龙上、机法不可能龙。
v01_0015,"그건 불가능해요, 소용없어요."
v01_0016,"""If you lose this war don't blame me. 1I 公共领域胶片·拷贝 别白费力气了，那不可能。"
v01_0017,"Αρχείο Ταινιών· αποκατάσταση Δεν έχει νόημα, είναι αδύνατο."
v01_0018,Curiouser and curiouser!
v01_0019,Clasicos de Archivo •restaurado iCada vezmás raro!
v01_0020,末寸主寸不思儀尼本乙W！
v01_0021,아카이브 클래식 복원판 점점 더 이상해지네!
v01_0022,"""Please don't lie —I don't want you to speak to me again until you are in uniform.'  经典影像档案·修复版 越来越奇怪了！"
v01_0023,Αρχείο Ταινιών: αποκατάσταση Όλο και πιο περίεργο!
v01_0024,H year later. In a Union encampment just North of Chattanooga. Who in the world am I?
v01_0025,"""I know every foot of this railroad from Marietta to Chattanooga— and with ten picked men I cannot fail."" ¿Quién demonios soy yo?"
v01_0026,"""We will enter the South as civilians coming from the neutral state of Kentucky to join the Southern cause. 1 私\左八谁本D？"
v01_0027,"""At Big Shanty we will steal the train while the passengers and crew are at dinner, and proceeding North we will burn every bridge, cutting off the supplies of the army now facing 대체나는 누구지?"
v01_0028,"""Then the day you steal the train Iwill have General Parker advance to meet you. 我到底是谁？"
v01_0029,Ποια είμαι επίτέλους εγώ;
v01_0030,A.R.R. We're all mad here.
v01_0031,Bobina publíca copia #114 Aquí todos estamos locos.
v01_0032,己己飞法孜h本狂百上。
v01_0033,20 여긴다 미쳤어요
v01_0034,这里的人都疯了。
v01_0035,.R.R. V&ARR Εδώ όλοι είναι τρελοί.
v01_0036,It is a truth universally acknowledged.
v01_0037,Es una verdad reconocida por todos.
v01_0038,W.B.A.R.R W&A.R.R. 子机法谁毛力认女百真美龙。
v01_0039,02 그건 누구나 아는 진실이죠
v01_0040,FENG 这是人人都承认的真理。
v01_0041,Είναι μια αλήθεια που όλοι αποδέχονται.
v01_0042,Film Vault print#114 I could not tell you what I really think.
v01_0043,No podría decirte lo que realmente pienso.
v01_0044,"""Three men stole my General. I think they are deserters. 本当刃気持古法言葉C飞吉本W。"
v01_0045,W& 내 진심은 말로 다 못해요.
v01_0046,我说不出自己真正的想法。
v01_0047,Δεν μπορώ να πωτί πραγματικά σκέφτομαι ionte
v01_0048,Archive Classics 'restored 2024 Vanity and pride are different things.
v01_0049,La vanidad y el orgullo son cosas distintas.
v01_0050,虚荣心亡才亏千下法别物龙上。
v01_0051,허영이랑 자존심은 다른 거예요.
v01_0052,虚荣和自尊是两回事。
v01_0053,Η ματαιοδοξία κι η υπερηφάνεια είναι διαφόρετικά πράγματα.
v01_0054,W.&.A.县T WS:A.R.F I have been in a dream all afternoon.
v01_0055,W.&.A.R.R. He estado como en un sueño toda la tarde.
v01_0056,午後心Φ与夢D中汇八左双左W。
v01_0057,오후 내내 꿈속에 있었던 것 같아요.
v01_0058,公共领域胶片·拷贝 整个下午我都像在做梦。
v01_0059,Ήμουν σαν σε όνειρο όλο το απόγευμα.
v01_0060,"TEXAS It was the best of times, it was the worst of times."
v01_0061,"Era el mejor de los tiempos, era el peor de los tiempos."
v01_0062,夕亏少夕卫一力个，修復版 最良刃時代飞扬D、最惠時代飞毛扬左。
v01_0063,"최고의 시절이자, 최악의 시절이었죠."
v01_0064,那是最好的时代，也是最坏的时代。
v01_0065,"Ήταν η καλύτερη εποχή, ήταν η χειρότερη εποχή."
v01_0066,"God bless us, every one."
v01_0067,Que Dios nos bendiga a todos.
v01_0068,孙h本神①祝福左。
v01_0069,5 모두에게 신의 축복이 있기를
v01_0070,愿上帝保佑我们每一个人。
v01_0071,. ο Θεός να μας ευλογεί όλους.
v01_0072,I wil honor Christmas in my heart.
v01_0073,Guardaré la Navidad en mi corazón.
v01_0074,心0中夕J久又又左大切仁寸石k。
v01_0075,공공 도메인 필름 사본 마음속으로 크리스마스를 기억할게요.
v01_0076,我会把圣诞节永远放在心里。
v01_0077,Θα κρατήσω τα Χριστούγεννα στην καρδιά μου.
v01_0078,B.A.R.R Are there no prisons? No workhouses?
v01_0079,The Southern army facing Chattanooga is ordered to retreat. ¿No hay cárceles? ¿No hay asilos?
v01_0080,刑務所七救負院毛本1O办？
v01_0081,감옥도 없나요?구빈원도 없어요?
